,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
19,Magasinier d'entrepôt, Hôtellerie et restauration ,1,13/03/2024,non spécifié, ESSAOUIRA ,CDD,- Connaissance en comptabilité - Connaissance en gestion de stock ,non spécifié,(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Bon",non spécifié
20,Maintenicien en mécanique maritime," Pêche, aquaculture ",1,13/03/2024,non spécifié, OUAD EDDAHAB,CDD,non spécifié,Diplôme de qualification professionnelle,non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
21,Manager de point de vente, Services fournis principalement aux entreprises ,1,13/03/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,non spécifié,Baccalauréat,(6 mois - 1 an),"Arabe : Bon, Anglais : Moyen, Francais : Bon",non spécifié
22,"Dirigeant de petite, moyenne entreprise ou industrie", Services auxiliaires des transports ,1,13/03/2024,non spécifié, BERKANE,CI,- Assurer la gestion technique et administratif du centre - Encadrement et la supervision du personnel du centre,non spécifié,non spécifié,Francais : Bon,non spécifié
23,Secrétaire de direction, Conseil en systèmes informatiques ,1,13/03/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,Salaire: 6000 dhs + commissions,"Bac + 3, bachelor",(6 mois - 1 an),Francais : Courant,"Très bonne communication en Français, bureautique"
24,Cuisinier, Hôtellerie et restauration ,1,13/03/2024,14/03/2024, SALE ,CI,non spécifié,"Diplôme de qualification professionnelle ,Agent de restauration ",non spécifié,non spécifié,non spécifié
25,Technicien d'études du bâtiment et des travaux publics, Construction ,1,13/03/2024,non spécifié, CHEFCHAOUEN ,CI,non spécifié,"Technicien ,Tech sp en Génie civil ",(6 mois - 1 an),Francais : Bon,non spécifié
26,Caissier, Autres ,1,13/03/2024,25/03/2024, MARRAKECH GUELIZ-ENNAKHIL,CDI,"Traitement des commandes clients, Etablissement facture, accueil. OUTIL INFORMATIQUE, BONNE MAÎTRISE DU FRANÇAIS, BONNE EXPÉRIENCE SUR SYSTÈME SAGE. ","Technicien spécialisé ,Comptable d'entreprises ",non spécifié,Francais : Courant,"français, outil informatique, sage."
27,Préparateur en pharmacie, Activités des ménages en tant qu'employeurs de personnel domestique ,1,13/03/2024,non spécifié, TAROUDANT ,CI,MISSION : -LA VENTE -RECEPTION APPEL -TACHES ADMINISTRATIVES,Baccalauréat,(6 mois - 1 an),"Arabe : Courant, Anglais : Bon, Francais : Bon",non spécifié
28,Technicien Réseau et télécoms, Services fournis principalement aux entreprises ,15,13/03/2024,non spécifié, CASA-AL FIDA DERB SULTAN ,CDI,PC Portable à dispo. maitrise qgis capft conal ,"Technicien spécialisé ,Réseaux et télécommunications ",non spécifié,"Anglais : Courant, Francais : Courant",non spécifié
29,Enquêteur, Services fournis principalement aux entreprises ,5,13/03/2024,non spécifié, BOUJDOUR ,CDD,non spécifié,non spécifié,non spécifié,Arabe : Bon,non spécifié
